source,target
(('duke'. 'duke'. 2). ('captain'. 'captain'. 2). 1. 0. 0. 0. 0),(('duke'. 'duke'. 3). ('captain'. 'captain'. 2). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 2). ('captain'. 'captain'. 2). 1. 0. 0. 0. 0),(('duke'. 'duke'. 2). ('captain'. 'captain'. 2). 2. 0. 1. 0. 0)
(('duke'. 'duke'. 2). ('captain'. 'captain'. 2). 1. 0. 0. 0. 0),(('duke'. 'duke'. 5). ('captain'. 'captain'. 2). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 3). ('captain'. 'captain'. 2). 2. 0. 0. 0. 0),(('duke'. 'duke'. 3). ('captain'. 'captain'. 2). 1. 0. 0. 1. 0)
(('duke'. 'duke'. 3). ('captain'. 'captain'. 2). 1. 0. 0. 1. 0),(('duke'. 'duke'. 1). ('captain'. 'captain'. 4). 1. 0. 0. 0. 0)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 4). 1. 0. 0. 0. 0),(('duke'. 'duke'. 2). ('captain'. 'captain'. 4). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 4). 1. 0. 0. 0. 0),(('duke'. 'duke'. 1). ('captain'. 'captain'. 4). 2. 0. 1. 0. 0)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 4). 1. 0. 0. 0. 0),(('duke'. 'duke'. 4). ('captain'. 'captain'. 4). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 2). ('captain'. 'captain'. 4). 2. 0. 0. 0. 0),(('duke'. 'duke'. 2). ('captain'. 'captain'. 4). 1. 0. 0. 1. 0)
(('duke'. 'duke'. 2). ('captain'. 'captain'. 4). 1. 0. 0. 1. 0),(('duke'. 'duke'. 0). ('captain'. 'captain'. 6). 1. 0. 0. 0. 0)
(('duke'. 'duke'. 0). ('captain'. 'captain'. 6). 1. 0. 0. 0. 0),(('duke'. 'duke'. 1). ('captain'. 'captain'. 6). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 0). ('captain'. 'captain'. 6). 1. 0. 0. 0. 0),(('duke'. 'duke'. 0). ('captain'. 'captain'. 6). 2. 0. 1. 0. 0)
(('duke'. 'duke'. 0). ('captain'. 'captain'. 6). 1. 0. 0. 0. 0),(('duke'. 'duke'. 3). ('captain'. 'captain'. 6). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 6). 2. 0. 0. 0. 0),(('duke'. 'duke'. 1). ('captain'. 'captain'. 7). 1. 0. 0. 0. 0)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 7). 1. 0. 0. 0. 0),(('duke'. 'duke'. 2). ('captain'. 'captain'. 7). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 7). 1. 0. 0. 0. 0),(('duke'. 'duke'. 1). ('captain'. 'captain'. 7). 2. 0. 1. 0. 0)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 7). 1. 0. 0. 0. 0),(('duke'. 'duke'. 4). ('captain'. 'captain'. 7). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 2). ('captain'. 'captain'. 7). 2. 0. 0. 0. 0),(('duke'. 'duke'. 2). ('captain'. 'captain'. 7). 1. 0. 0. 1. 0)
(('duke'. 'duke'. 2). ('captain'. 'captain'. 7). 1. 0. 0. 1. 0),(('duke'. 'duke'. 0). ('captain'. 'captain'. 9). 1. 0. 0. 0. 0)
(('duke'. 'duke'. 0). ('captain'. 'captain'. 9). 1. 0. 0. 0. 0),(('duke'. 'duke'. 1). ('captain'. 'captain'. 9). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 0). ('captain'. 'captain'. 9). 1. 0. 0. 0. 0),(('duke'. 'duke'. 0). ('captain'. 'captain'. 9). 2. 0. 1. 0. 0)
(('duke'. 'duke'. 0). ('captain'. 'captain'. 9). 1. 0. 0. 0. 0),(('duke'. 'duke'. 3). ('captain'. 'captain'. 9). 2. 0. 0. 0. 0)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 9). 2. 0. 0. 0. 0),(('duke'. 'duke'. 1). ('captain'. 'captain'. 2). 1. 0. 0. 0. 1)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 2). 1. 0. 0. 0. 1),(('dead'. 'duke'. 1). ('captain'. 'captain'. 2). 1. 0. 0. 0. 0)
(('duke'. 'duke'. 1). ('captain'. 'captain'. 2). 1. 0. 0. 0. 1),(('duke'. 'dead'. 1). ('captain'. 'captain'. 2). 1. 0. 0. 0. 0)
(('dead'. 'duke'. 1). ('captain'. 'captain'. 2). 1. 0. 0. 0. 0),(('dead'. 'duke'. 2). ('captain'. 'captain'. 2). 2. 0. 0. 0. 0)
(('dead'. 'duke'. 1). ('captain'. 'captain'. 2). 1. 0. 0. 0. 0),(('dead'. 'duke'. 1). ('captain'. 'captain'. 2). 2. 0. 1. 0. 0)
(('dead'. 'duke'. 1). ('captain'. 'captain'. 2). 1. 0. 0. 0. 0),(('dead'. 'duke'. 4). ('captain'. 'captain'. 2). 2. 0. 0. 0. 0)
(('dead'. 'duke'. 2). ('captain'. 'captain'. 2). 2. 0. 0. 0. 0),(('dead'. 'duke'. 2). ('captain'. 'captain'. 2). 1. 0. 0. 1. 0)
(('dead'. 'duke'. 2). ('captain'. 'captain'. 2). 1. 0. 0. 1. 0),(('dead'. 'duke'. 0). ('captain'. 'captain'. 4). 1. 0. 0. 0. 0)
(('dead'. 'duke'. 0). ('captain'. 'captain'. 4). 1. 0. 0. 0. 0),(('dead'. 'duke'. 1). ('captain'. 'captain'. 4). 2. 0. 0. 0. 0)
(('dead'. 'duke'. 0). ('captain'. 'captain'. 4). 1. 0. 0. 0. 0),(('dead'. 'duke'. 0). ('captain'. 'captain'. 4). 2. 0. 1. 0. 0)
(('dead'. 'duke'. 0). ('captain'. 'captain'. 4). 1. 0. 0. 0. 0),(('dead'. 'duke'. 3). ('captain'. 'captain'. 4). 2. 0. 0. 0. 0)
(('dead'. 'duke'. 1). ('captain'. 'captain'. 4). 2. 0. 0. 0. 0),(('dead'. 'duke'. 1). ('captain'. 'captain'. 5). 1. 0. 0. 0. 0)
(('dead'. 'duke'. 1). ('captain'. 'captain'. 5). 1. 0. 0. 0. 0),(('dead'. 'duke'. 2). ('captain'. 'captain'. 5). 2. 0. 0. 0. 0)
(('dead'. 'duke'. 1). ('captain'. 'captain'. 5). 1. 0. 0. 0. 0),(('dead'. 'duke'. 1). ('captain'. 'captain'. 5). 2. 0. 1. 0. 0)
(('dead'. 'duke'. 1). ('captain'. 'captain'. 5). 1. 0. 0. 0. 0),(('dead'. 'duke'. 4). ('captain'. 'captain'. 5). 2. 0. 0. 0. 0)
(('dead'. 'duke'. 2). ('captain'. 'captain'. 5). 2. 0. 0. 0. 0),(('dead'. 'duke'. 2). ('captain'. 'captain'. 5). 1. 0. 0. 1. 0)
(('dead'. 'duke'. 2). ('captain'. 'captain'. 5). 1. 0. 0. 1. 0),(('dead'. 'duke'. 0). ('captain'. 'captain'. 7). 1. 0. 0. 0. 0)
